onset	duration	trial_type_a	trial_type_b
0.5	3	CR	CpH
4.0	3	FA	FpH
7.5	3	FA	FpF
11.0	3	CR	CpH
14.5	3	Hit	HpH
18.0	3	Hit	HpF
21.5	3	FA	FpF
25.0	3	Hit	HpH
28.5	3	CR	CpH
32.0	3	Hit	HpF
35.5	3	NR	NRpX
39.0	3	FA	FpF
42.5	3	NR	NRpX
46.0	3	Miss	MpF
49.5	3	Miss	MpH
53.0	3	CR	CpH
56.5	3	Hit	HpH
60.0	3	FA	FpH
63.5	3	FA	FpF
67.0	3	Hit	HpH
70.5	3	FA	FpF
74.0	3	CR	CpF
77.5	3	FA	FpH
81.0	3	Miss	MpH
84.5	3	FA	FpH
88.0	3	FA	FpH
91.5	3	FA	FpF
95.0	3	Hit	HpH
98.5	3	FA	FpF
102.0	3	FA	FpH
105.5	3	FA	FpF
109.0	3	Hit	HpF
112.5	3	CR	CpH
116.0	3	Hit	HpH
119.5	3	FA	FpH
123.0	3	Miss	MpF
126.5	3	Hit	HpH
130.0	3	Hit	HpH
133.5	3	Hit	HpF
137.0	3	NR	NRpX
140.5	3	FA	FpH
144.0	3	Hit	HpH
147.5	3	FA	FpF
151.0	3	CR	CpF
154.5	3	Miss	MpH
158.0	3	CR	CpH
161.5	3	FA	FpF
165.0	3	FA	FpF
168.5	3	Miss	MpH
172.0	3	Hit	HpH
175.5	3	Hit	HpF
179.0	3	Miss	MpH
182.5	3	Hit	HpH
186.0	3	FA	FpF
189.5	3	Hit	HpH
193.0	3	Hit	HpH
196.5	3	CR	CpF
200.0	3	FA	FpF
203.5	3	FA	FpH
207.0	3	Hit	HpH
210.5	3	CR	CpH
214.0	3	Hit	HpF
217.5	3	NR	NRpX
221.0	3	CR	CpF
224.5	3	NR	NRpX
228.0	3	Hit	HpH
231.5	3	Hit	HpF
235.0	3	FA	FpH
238.5	3	FA	FpH
242.0	3	CR	CpH
245.5	3	Hit	HpH
249.0	3	CR	CpH
252.5	3	CR	CpH
256.0	3	CR	CpF
259.5	3	FA	FpF
263.0	3	Hit	HpF
266.5	3	Hit	HpH
270.0	3	NR	NRpX
273.5	3	NR	NRpX
277.0	3	Miss	MpF
280.5	3	Hit	HpH
284.0	3	CR	NRpX
287.5	3	CR	CpF
291.0	3	Hit	HpF
294.5	3	Hit	HpF
298.0	3	Hit	HpF
301.5	3	Hit	HpF
305.0	3	Hit	HpF
308.5	3	Miss	MpH
312.0	3	Hit	HpF
315.5	3	Hit	HpH
319.0	3	Miss	MpH
322.5	3	CR	CpF
326.0	3	Hit	HpH
329.5	3	NR	NRpX
333.0	3	Hit	HpH
336.5	3	FA	FpH
340.0	3	CR	CpH
343.5	3	Hit	HpH
347.0	3	Miss	MpF
350.5	3	FA	FpH
354.0	3	CR	CpH
357.5	3	FA	FpH
361.0	3	FA	FpF
364.5	3	FA	FpH
368.0	3	CR	CpH
371.5	3	Hit	HpH
375.0	3	FA	FpF
