onset	duration	trial_type_a	trial_type_b
0.5	3	NR	NRpX
4.0	3	FA	FpF
7.5	3	FA	FpF
11.0	3	Hit	HpF
14.5	3	Hit	HpH
18.0	3	Hit	HpH
21.5	3	CR	CpH
25.0	3	FA	FpF
28.5	3	FA	FpF
32.0	3	FA	FpF
35.5	3	CR	CpH
39.0	3	Hit	HpH
42.5	3	Hit	HpH
46.0	3	Hit	HpH
49.5	3	FA	FpH
53.0	3	FA	FpH
56.5	3	Hit	HpH
60.0	3	Hit	HpH
63.5	3	FA	FpH
67.0	3	FA	FpH
70.5	3	FA	FpH
74.0	3	Hit	HpH
77.5	3	FA	FpF
81.0	3	Hit	HpH
84.5	3	FA	FpF
88.0	3	Hit	HpH
91.5	3	NR	NRpX
95.0	3	FA	FpF
98.5	3	FA	FpH
102.0	3	Hit	HpH
105.5	3	CR	CpF
109.0	3	FA	FpH
112.5	3	CR	CpF
116.0	3	FA	FpH
119.5	3	Hit	HpH
123.0	3	FA	FpF
126.5	3	Hit	HpH
130.0	3	Hit	HpH
133.5	3	CR	CpF
137.0	3	Hit	HpH
140.5	3	Hit	HpH
144.0	3	Hit	HpH
147.5	3	FA	FpF
151.0	3	Miss	MpH
154.5	3	Miss	MpH
158.0	3	FA	FpF
161.5	3	CR	CpH
165.0	3	FA	FpF
168.5	3	FA	FpF
172.0	3	FA	FpH
175.5	3	CR	CpH
179.0	3	FA	FpH
182.5	3	FA	FpH
186.0	3	Miss	MpH
189.5	3	FA	FpH
193.0	3	Miss	MpH
196.5	3	Hit	HpH
200.0	3	NR	NRpX
203.5	3	FA	FpH
207.0	3	FA	FpF
210.5	3	Hit	HpH
214.0	3	CR	CpH
217.5	3	CR	CpF
221.0	3	Miss	MpF
224.5	3	CR	CpH
228.0	3	FA	FpF
231.5	3	CR	CpH
235.0	3	FA	FpF
238.5	3	Hit	HpH
242.0	3	FA	FpH
245.5	3	Hit	HpH
249.0	3	Hit	HpH
252.5	3	Miss	MpH
256.0	3	FA	FpH
259.5	3	FA	FpH
263.0	3	Hit	HpH
266.5	3	Miss	MpH
270.0	3	NR	NRpX
273.5	3	CR	CpH
277.0	3	Hit	HpH
280.5	3	Hit	HpH
284.0	3	Hit	HpF
287.5	3	Hit	HpF
291.0	3	FA	FpH
294.5	3	NR	NRpX
298.0	3	FA	FpF
301.5	3	CR	CpF
305.0	3	FA	FpH
308.5	3	FA	FpF
312.0	3	NR	NRpX
315.5	3	Hit	HpH
319.0	3	Hit	HpF
322.5	3	FA	FpH
326.0	3	Hit	HpH
329.5	3	Miss	MpH
333.0	3	Hit	HpH
336.5	3	NR	NRpX
340.0	3	Hit	HpF
343.5	3	Hit	HpH
347.0	3	Hit	HpH
350.5	3	CR	CpF
354.0	3	Hit	HpH
357.5	3	NR	NRpX
361.0	3	Hit	HpH
364.5	3	Hit	HpF
368.0	3	Hit	HpH
371.5	3	Hit	HpH
375.0	3	FA	FpH
