onset	duration	trial_type_a	trial_type_b
0.5	4.5	FA	FfC
5.5	4.5	Hit	HfF
10.5	4.5	Hit	HfM
15.5	4.5	FA	FfH
20.5	4.5	Hit	HfH
25.5	4.5	FA	FfC
30.5	4.5	NR	NRfX
35.5	4.5	Hit	HfC
40.5	4.5	Hit	HfH
45.5	4.5	FA	FfF
50.5	4.5	FA	FfH
55.5	4.5	NR	NRfX
60.5	4.5	Hit	HfC
65.5	4.5	Hit	HfF
70.5	4.5	Hit	HfC
75.5	4.5	NR	NRfX
80.5	4.5	Hit	HfH
85.5	4.5	Hit	HfF
90.5	4.5	FA	FfC
95.5	4.5	Hit	HfF
100.5	4.5	Hit	HfC
105.5	4.5	FA	FfH
110.5	4.5	FA	FfH
115.5	4.5	Hit	HfH
120.5	4.5	FA	FfF
125.5	4.5	FA	FfC
130.5	4.5	Hit	HfM
135.5	4.5	Hit	HfC
140.5	4.5	FA	FfF
145.5	4.5	FA	FfC
150.5	4.5	Hit	HfF
155.5	4.5	NR	NRfX
160.5	4.5	Hit	HfH
165.5	4.5	FA	FfH
170.5	4.5	Hit	HfH
175.5	4.5	FA	FfH
180.5	4.5	FA	FfH
185.5	4.5	Hit	HfF
190.5	4.5	Hit	HfH
195.5	4.5	Hit	HfM
200.5	4.5	FA	FfC
205.5	4.5	Hit	HfF
210.5	4.5	Hit	HfH
215.5	4.5	Hit	HfM
220.5	4.5	Hit	HfF
225.5	4.5	FA	FfH
230.5	4.5	Hit	HfM
235.5	4.5	Hit	HfH
240.5	4.5	Hit	HfM
245.5	4.5	Hit	HfH
250.5	4.5	Hit	HfC
255.5	4.5	FA	FfF
260.5	4.5	Hit	HfF
265.5	4.5	FA	FfC
