onset	duration	trial_type_a	trial_type_b
0.5	3	Miss	MpF
4.0	3	NR	NRpX
7.5	3	FA	FpH
11.0	3	Hit	HpF
14.5	3	Hit	HpF
18.0	3	NR	NRpX
21.5	3	FA	FpH
25.0	3	Hit	HpF
28.5	3	NR	NRpX
32.0	3	CR	CpH
35.5	3	FA	FpH
39.0	3	Hit	HpF
42.5	3	FA	FpH
46.0	3	Hit	HpF
49.5	3	Hit	HpH
53.0	3	CR	CpH
56.5	3	FA	FpH
60.0	3	Hit	HpF
63.5	3	Hit	HpF
67.0	3	CR	CpF
70.5	3	Hit	HpF
74.0	3	NR	NRpX
77.5	3	Hit	HpF
81.0	3	Hit	HpF
84.5	3	FA	FpH
88.0	3	CR	CpF
91.5	3	CR	CpF
95.0	3	CR	CpH
98.5	3	FA	FpF
102.0	3	FA	FpH
105.5	3	FA	FpH
109.0	3	FA	FpF
112.5	3	FA	FpF
116.0	3	CR	CpH
119.5	3	CR	CpF
123.0	3	CR	CpH
126.5	3	Miss	MpF
130.0	3	CR	CpH
133.5	3	Hit	HpH
137.0	3	FA	FpH
140.5	3	Hit	HpF
144.0	3	FA	FpH
147.5	3	FA	FpF
151.0	3	FA	FpF
154.5	3	Miss	MpF
158.0	3	Hit	HpF
161.5	3	FA	FpH
165.0	3	FA	FpH
168.5	3	NR	NRpX
172.0	3	Hit	HpH
175.5	3	FA	FpH
179.0	3	Hit	HpH
182.5	3	NR	NRpX
186.0	3	CR	CpH
189.5	3	Hit	HpF
193.0	3	FA	FpH
196.5	3	FA	FpF
200.0	3	FA	FpF
203.5	3	FA	FpH
207.0	3	Miss	MpF
210.5	3	Hit	HpF
214.0	3	Hit	HpF
217.5	3	Hit	HpF
221.0	3	Hit	HpF
224.5	3	FA	FpH
228.0	3	Hit	HpH
231.5	3	FA	FpF
235.0	3	Hit	HpF
238.5	3	NR	NRpX
242.0	3	FA	FpH
245.5	3	FA	FpF
249.0	3	FA	FpH
252.5	3	Hit	HpF
256.0	3	FA	FpH
259.5	3	FA	FpF
263.0	3	Hit	HpF
266.5	3	FA	FpH
270.0	3	Miss	MpF
273.5	3	Hit	HpF
277.0	3	Hit	HpF
280.5	3	NR	NRpX
284.0	3	FA	FpH
287.5	3	Hit	HpF
291.0	3	Hit	HpF
294.5	3	Miss	MpF
298.0	3	Miss	MpF
301.5	3	Hit	HpH
305.0	3	Hit	HpH
308.5	3	CR	CpF
312.0	3	Miss	MpF
315.5	3	Hit	HpH
319.0	3	FA	FpH
322.5	3	FA	FpH
326.0	3	Miss	MpH
329.5	3	Hit	HpF
333.0	3	FA	FpF
336.5	3	Hit	HpF
340.0	3	Hit	HpF
343.5	3	FA	FpH
347.0	3	Hit	HpH
350.5	3	FA	FpF
354.0	3	FA	FpF
357.5	3	FA	FpF
361.0	3	FA	FpH
364.5	3	Hit	HpH
368.0	3	FA	FpH
371.5	3	NR	NRpX
375.0	3	Hit	HpH
