onset	duration	trial_type_a	trial_type_b
0.5	4.5	Hit	HfF
5.5	4.5	Hit	HfH
10.5	4.5	Hit	HfF
15.5	4.5	FA	FfC
20.5	4.5	Hit	HfC
25.5	4.5	Hit	HfF
30.5	4.5	Hit	HfF
35.5	4.5	Hit	HfM
40.5	4.5	Hit	HfF
45.5	4.5	FA	FfF
50.5	4.5	Hit	HfC
55.5	4.5	FA	FfF
60.5	4.5	FA	FfH
65.5	4.5	Hit	HfH
70.5	4.5	FA	FfH
75.5	4.5	Hit	HfF
80.5	4.5	Hit	HfF
85.5	4.5	Hit	HfH
90.5	4.5	FA	FfH
95.5	4.5	Hit	HfC
100.5	4.5	Hit	HfH
105.5	4.5	Hit	HfF
110.5	4.5	Hit	HfF
115.5	4.5	FA	FfF
120.5	4.5	Hit	HfF
125.5	4.5	FA	FfF
130.5	4.5	FA	FfH
135.5	4.5	NR	NRfX
140.5	4.5	Hit	HfF
145.5	4.5	Hit	HfM
150.5	4.5	Hit	HfF
155.5	4.5	FA	FfM
160.5	4.5	FA	FfF
165.5	4.5	Hit	HfC
170.5	4.5	Hit	HfH
175.5	4.5	Hit	HfH
180.5	4.5	FA	FfF
185.5	4.5	FA	FfF
190.5	4.5	NR	NRfX
195.5	4.5	FA	FfH
200.5	4.5	Hit	HfF
205.5	4.5	NR	NRfX
210.5	4.5	FA	FfH
215.5	4.5	FA	FfC
220.5	4.5	Hit	HfC
225.5	4.5	FA	FfC
230.5	4.5	Hit	HfC
235.5	4.5	Hit	HfH
240.5	4.5	Hit	HfF
245.5	4.5	Hit	HfH
250.5	4.5	Hit	HfC
255.5	4.5	FA	NRfX
260.5	4.5	FA	FfM
265.5	4.5	NR	NRfX
