onset	duration	trial_type_a	trial_type_b
0.5	4.5	NR	NRfX
5.5	4.5	Hit	HfC
10.5	4.5	Hit	HfF
15.5	4.5	NR	NRfX
20.5	4.5	Hit	HfF
25.5	4.5	FA	FfM
30.5	4.5	Hit	NRfX
35.5	4.5	Hit	HfC
40.5	4.5	Hit	HfH
45.5	4.5	Hit	NRfX
50.5	4.5	Hit	HfH
55.5	4.5	Hit	HfF
60.5	4.5	Hit	HfC
65.5	4.5	Hit	HfC
70.5	4.5	Hit	HfC
75.5	4.5	Hit	HfF
80.5	4.5	Hit	HfF
85.5	4.5	Hit	HfF
90.5	4.5	Hit	HfH
95.5	4.5	Hit	HfH
100.5	4.5	FA	FfF
105.5	4.5	Hit	HfF
110.5	4.5	FA	FfC
115.5	4.5	Hit	HfF
120.5	4.5	FA	FfC
125.5	4.5	Hit	HfC
130.5	4.5	FA	FfF
135.5	4.5	FA	FfF
140.5	4.5	FA	FfF
145.5	4.5	NR	NRfX
150.5	4.5	Hit	NRfX
155.5	4.5	Hit	HfF
160.5	4.5	FA	NRfX
165.5	4.5	Hit	HfC
170.5	4.5	NR	NRfX
175.5	4.5	NR	NRfX
180.5	4.5	Hit	HfM
185.5	4.5	Hit	NRfX
190.5	4.5	Hit	HfF
195.5	4.5	Hit	HfC
200.5	4.5	Hit	HfH
205.5	4.5	FA	FfH
210.5	4.5	Hit	HfF
215.5	4.5	Hit	HfC
220.5	4.5	Hit	NRfX
225.5	4.5	Hit	HfM
230.5	4.5	Hit	HfH
235.5	4.5	Hit	HfH
240.5	4.5	Hit	HfC
245.5	4.5	Hit	HfH
250.5	4.5	FA	NRfX
255.5	4.5	Hit	HfH
260.5	4.5	FA	FfF
265.5	4.5	FA	NRfX
