onset	duration	trial_type_a	trial_type_b
0.5	3	RpFA	RpFpH
4.0	3	RpHit	RpHpF
7.5	3	RpHit	RpHpF
11.0	3	RpFA	RpFpF
14.5	3	RpFA	RpFpH
18.0	3	RpHit	RpHpH
21.5	3	RpFA	RpFpH
25.0	3	RpHit	RpHpH
28.5	3	RpFA	RpFpH
32.0	3	RpMiss	RpCMpH
35.5	3	RpFA	RpFpH
39.0	3	RpHit	RpHpF
42.5	3	RpMiss	RpCMpF
46.0	3	RpCR	RpCMpF
49.5	3	RpHit	RpHpH
53.0	3	RpHit	RpHpF
56.5	3	NR	NRpXpX
60.0	3	RpFA	RpFpF
63.5	3	RpHit	RpHpH
67.0	3	RpFA	RpFpH
70.5	3	RpCR	RpCMpF
74.0	3	RpHit	RpHpF
77.5	3	RpHit	RpHpF
81.0	3	RpHit	RpHpF
84.5	3	RpHit	RpHpH
88.0	3	NR	NRpXpX
91.5	3	RpHit	RpHpF
95.0	3	RpMiss	RpCMpH
98.5	3	RpMiss	RpCMpF
102.0	3	RpFA	RpFpF
105.5	3	RpHit	RpHpH
109.0	3	NR	NRpXpX
112.5	3	RpFA	RpFpF
116.0	3	RpFA	RpFpF
119.5	3	RpCR	RpCMpH
123.0	3	RpFA	RpFpH
126.5	3	RpFA	RpFpF
130.0	3	RpFA	RpFpF
133.5	3	RpHit	RpHpH
137.0	3	RpFA	RpFpF
140.5	3	NR	NRpXpX
144.0	3	RpFA	NRpXpX
147.5	3	RpMiss	RpCMpF
151.0	3	NR	NRpXpX
154.5	3	RpFA	RpFpF
158.0	3	RpFA	RpFpF
161.5	3	RpFA	RpFpF
165.0	3	RpHit	RpHpF
168.5	3	RpHit	RpHpH
172.0	3	RpFA	RpFpH
175.5	3	RpHit	RpHpF
179.0	3	RpFA	RpFpH
182.5	3	RpFA	RpFpF
186.0	3	NR	NRpXpX
189.5	3	NR	NRpXpX
193.0	3	RpMiss	RpCMpF
196.5	3	RpFA	RpFpF
200.0	3	RpHit	RpHpF
203.5	3	NR	NRpXpX
207.0	3	RpFA	RpFpF
210.5	3	RpHit	RpHpH
214.0	3	RpHit	RpHpF
217.5	3	NR	NRpXpX
