onset	duration	trial_type_a	trial_type_b
0.5	4.5	Hit	HfF
5.5	4.5	Hit	HfC
10.5	4.5	Hit	HfH
15.5	4.5	Hit	HfH
20.5	4.5	FA	FfH
25.5	4.5	Hit	HfH
30.5	4.5	Hit	HfF
35.5	4.5	FA	FfH
40.5	4.5	Hit	HfH
45.5	4.5	Hit	HfF
50.5	4.5	NR	NRfX
55.5	4.5	Hit	HfH
60.5	4.5	NR	NRfX
65.5	4.5	NR	NRfX
70.5	4.5	Hit	HfM
75.5	4.5	Hit	HfH
80.5	4.5	Hit	HfM
85.5	4.5	NR	NRfX
90.5	4.5	FA	FfC
95.5	4.5	FA	FfH
100.5	4.5	FA	FfC
105.5	4.5	Hit	NRfX
110.5	4.5	Hit	HfC
115.5	4.5	FA	FfM
120.5	4.5	NR	NRfX
125.5	4.5	Hit	HfC
130.5	4.5	Hit	HfH
135.5	4.5	FA	FfC
140.5	4.5	FA	FfC
145.5	4.5	FA	FfH
150.5	4.5	FA	FfH
155.5	4.5	FA	FfH
160.5	4.5	FA	FfF
165.5	4.5	FA	FfH
170.5	4.5	Hit	HfH
175.5	4.5	Hit	HfH
180.5	4.5	Hit	HfH
185.5	4.5	Hit	HfF
190.5	4.5	Hit	HfF
195.5	4.5	NR	NRfX
200.5	4.5	Hit	HfH
205.5	4.5	FA	FfM
210.5	4.5	Hit	HfH
215.5	4.5	Hit	HfM
220.5	4.5	FA	FfH
225.5	4.5	FA	FfC
230.5	4.5	Hit	HfF
235.5	4.5	Hit	HfH
240.5	4.5	NR	NRfX
245.5	4.5	FA	FfC
250.5	4.5	FA	FfF
255.5	4.5	Hit	HfC
260.5	4.5	FA	FfH
265.5	4.5	Hit	HfC
