onset	duration	trial_type_a	trial_type_b
0.5	4.5	FA	FfF
5.5	4.5	Hit	HfH
10.5	4.5	Hit	HfF
15.5	4.5	FA	FfF
20.5	4.5	FA	FfM
25.5	4.5	NR	NRfX
30.5	4.5	Hit	HfC
35.5	4.5	FA	FfF
40.5	4.5	FA	FfF
45.5	4.5	FA	FfF
50.5	4.5	FA	FfC
55.5	4.5	FA	FfH
60.5	4.5	Hit	HfM
65.5	4.5	Hit	HfH
70.5	4.5	Hit	HfC
75.5	4.5	Hit	HfC
80.5	4.5	FA	FfF
85.5	4.5	Hit	HfC
90.5	4.5	FA	FfH
95.5	4.5	FA	FfC
100.5	4.5	Hit	HfF
105.5	4.5	NR	NRfX
110.5	4.5	Hit	HfH
115.5	4.5	NR	NRfX
120.5	4.5	Hit	HfC
125.5	4.5	Hit	HfH
130.5	4.5	Hit	HfH
135.5	4.5	Hit	HfH
140.5	4.5	Hit	HfF
145.5	4.5	Hit	HfC
150.5	4.5	FA	FfM
155.5	4.5	Hit	HfC
160.5	4.5	FA	FfC
165.5	4.5	FA	FfF
170.5	4.5	FA	FfC
175.5	4.5	FA	FfF
180.5	4.5	Hit	HfH
185.5	4.5	Hit	HfC
190.5	4.5	Hit	HfM
195.5	4.5	Hit	HfH
200.5	4.5	Hit	HfH
205.5	4.5	FA	FfC
210.5	4.5	FA	FfH
215.5	4.5	FA	FfF
220.5	4.5	Hit	HfC
225.5	4.5	NR	NRfX
230.5	4.5	Hit	HfC
235.5	4.5	Hit	HfM
240.5	4.5	Hit	HfH
245.5	4.5	FA	FfC
250.5	4.5	NR	NRfX
255.5	4.5	Hit	HfC
260.5	4.5	FA	FfC
265.5	4.5	FA	FfF
