onset	duration	trial_type_a	trial_type_b
0.5	4.5	FA	FfF
5.5	4.5	Hit	HfF
10.5	4.5	Hit	HfM
15.5	4.5	Hit	HfH
20.5	4.5	NR	NRfX
25.5	4.5	FA	FfF
30.5	4.5	Hit	HfH
35.5	4.5	Hit	HfH
40.5	4.5	Hit	HfH
45.5	4.5	Hit	HfC
50.5	4.5	Hit	HfH
55.5	4.5	Hit	HfF
60.5	4.5	FA	FfF
65.5	4.5	Hit	HfF
70.5	4.5	Hit	HfH
75.5	4.5	Hit	HfF
80.5	4.5	Hit	HfF
85.5	4.5	Hit	HfC
90.5	4.5	Hit	HfC
95.5	4.5	Hit	HfF
100.5	4.5	Hit	HfF
105.5	4.5	Hit	HfF
110.5	4.5	Hit	HfC
115.5	4.5	FA	FfF
120.5	4.5	Hit	HfF
125.5	4.5	NR	NRfX
130.5	4.5	FA	FfF
135.5	4.5	FA	FfC
140.5	4.5	Hit	HfH
145.5	4.5	NR	NRfX
150.5	4.5	Hit	HfH
155.5	4.5	FA	FfF
160.5	4.5	Hit	HfC
165.5	4.5	Hit	HfH
170.5	4.5	Hit	HfF
175.5	4.5	FA	FfM
180.5	4.5	Hit	HfF
185.5	4.5	Hit	HfH
190.5	4.5	Hit	HfF
195.5	4.5	Hit	HfF
200.5	4.5	Hit	HfH
205.5	4.5	FA	FfF
210.5	4.5	Hit	HfF
215.5	4.5	FA	FfH
220.5	4.5	FA	FfF
225.5	4.5	Hit	HfH
230.5	4.5	Hit	HfM
235.5	4.5	NR	NRfX
240.5	4.5	FA	FfF
245.5	4.5	Hit	HfC
250.5	4.5	FA	FfF
255.5	4.5	Hit	HfH
260.5	4.5	FA	FfH
265.5	4.5	Hit	HfF
