onset	duration	trial_type_a	trial_type_b
0.5	3	NR	NRpX
4.0	3	CR	CpF
7.5	3	Miss	MpH
11.0	3	FA	FpF
14.5	3	FA	FpH
18.0	3	Miss	MpF
21.5	3	FA	FpH
25.0	3	FA	FpF
28.5	3	CR	CpF
32.0	3	Miss	MpH
35.5	3	FA	FpF
39.0	3	NR	NRpX
42.5	3	FA	FpH
46.0	3	Hit	HpH
49.5	3	Miss	MpH
53.0	3	Hit	HpF
56.5	3	FA	FpF
60.0	3	Hit	HpH
63.5	3	Hit	HpH
67.0	3	FA	FpH
70.5	3	Hit	HpH
74.0	3	Hit	HpH
77.5	3	NR	NRpX
81.0	3	Hit	HpF
84.5	3	Hit	HpF
88.0	3	Hit	HpH
91.5	3	FA	FpH
95.0	3	Hit	HpH
98.5	3	Hit	HpH
102.0	3	FA	FpH
105.5	3	Hit	HpH
109.0	3	Hit	HpH
112.5	3	FA	FpF
116.0	3	FA	FpF
119.5	3	FA	FpF
123.0	3	FA	FpH
126.5	3	FA	FpH
130.0	3	FA	FpF
133.5	3	Hit	HpH
137.0	3	Hit	HpH
140.5	3	FA	FpF
144.0	3	CR	CpH
147.5	3	FA	FpH
151.0	3	FA	FpF
154.5	3	CR	CpH
158.0	3	NR	NRpX
161.5	3	Hit	HpF
165.0	3	Hit	HpH
168.5	3	Hit	HpH
172.0	3	Hit	HpH
175.5	3	CR	CpF
179.0	3	FA	FpF
182.5	3	Hit	HpH
186.0	3	Hit	HpF
189.5	3	Hit	HpH
193.0	3	FA	FpH
196.5	3	CR	CpH
200.0	3	FA	FpH
203.5	3	Miss	MpH
207.0	3	CR	CpF
210.5	3	Hit	HpF
214.0	3	FA	FpH
217.5	3	FA	FpH
221.0	3	Hit	HpH
224.5	3	NR	NRpX
228.0	3	FA	FpF
231.5	3	Hit	HpH
235.0	3	FA	FpH
238.5	3	FA	FpF
242.0	3	FA	FpF
245.5	3	Hit	HpH
249.0	3	Hit	HpF
252.5	3	FA	FpF
256.0	3	Hit	HpH
259.5	3	NR	NRpX
263.0	3	Hit	HpH
266.5	3	NR	NRpX
270.0	3	Hit	HpF
273.5	3	NR	NRpX
277.0	3	NR	NRpX
280.5	3	Hit	HpH
284.0	3	Hit	HpH
287.5	3	CR	CpH
291.0	3	Miss	MpH
294.5	3	CR	CpH
298.0	3	FA	FpF
301.5	3	CR	CpH
305.0	3	FA	FpF
308.5	3	FA	FpH
312.0	3	Hit	HpF
315.5	3	Miss	MpF
319.0	3	Hit	HpH
322.5	3	CR	CpH
326.0	3	Hit	HpF
329.5	3	Hit	HpF
333.0	3	FA	FpF
336.5	3	FA	FpF
340.0	3	NR	NRpX
343.5	3	FA	FpH
347.0	3	FA	FpF
350.5	3	Hit	HpH
354.0	3	FA	FpF
357.5	3	Hit	HpH
361.0	3	Hit	HpH
364.5	3	CR	CpH
368.0	3	Hit	HpF
371.5	3	Miss	MpF
375.0	3	FA	FpH
